,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2,Date,本项目招标公告日期,中标日期,评审专家名单,总中标金额,提交文件截止时间,资格审查日期,获取谈判文件的地点,获取谈判文件的时间,获取磋商文件时间,获取磋商文件地点,响应文件递交时间,响应文件递交地点,响应文件开启时间,响应文件开启地点,采购人,采购人地址,采购人联系方式,成交日期,谈判小组、询价小组成员、磋商小组成员名单及单一来源采购人员名单,总成交金额,首次公告日期,更正日期,附件3,附件4,定标日期,评标委员会成员名单,报名时间,报名地点,附件5,谈判小组、询价小组成员名单及单一来源采购人员名单
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201911/t20191126_13421048.htm,榕江县城乡污水一体化PPP项目采购需求公示,,榕江县水务局,榕江县,2019年11月26日  11:46,,,,,,,焦兴贵  梁山,15285551052、18785113241,贵州省榕江县,13765520111,天和国咨控股集团有限公司,贵阳市国家高新技术产业区贵州产业技术发展研究院大厦,null,,,2019年11月26日 11:46,,,,,2019年12月17日  10:00 ,"	2019年12月17日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/201812/t20181227_11431967.htm,榕江县城乡供水PPP项目“一方案两报告”编制服务采购,,榕江县水务局,榕江县,2018年12月27日  16:15,,,,,,￥55.800000万元（人民币）,何开群,0855-8237616,贵州省榕江县,13595507169,贵州信和工程招标造价咨询有限公司,凯里市韶山北路8号凯旋公馆A栋C单元2002室,13765588518,,,2018年12月27日 16:15,,,,,,,凯里市韶山北路8号凯旋公馆A栋C单元20楼2002室,2018年12月28日  09:00  至  2019年01月02日  17:00,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201712/t20171220_9367128.htm,（3）网上报名成功，网上下载（点击此链接：http://ztb.qxn.gov.cn，可直接跳转到黔西南州公共资源交易中心网站）。,,册亨县水务局,册亨县,2017年12月20日  12:03,,,,,,,刘需芝,0859-3668011,册亨县,18788792749,贵州致信建设工程监理咨询有限公司,（3）网上报名成功，网上下载（点击此链接：http://ztb.qxn.gov.cn，可直接跳转到黔西南州公共资源交易中心网站）。,（3）网上报名成功，网上下载（点击此链接：http://ztb.qxn.gov.cn，可直接跳转到黔西南州公共资源交易中心网站）。,,,2017年12月20日 12:03,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202001/t20200116_13770391.htm,普安县城镇供水一体化ppp项目购买第三方服务,,普安县水务局,普安县,2020年01月16日  15:50,,,,,,￥98.800000万元（人民币）,聂慧,0859-3127868,普安县,13885971300,贵州万和工程招标代理造价咨询有限责任公司,兴义市桔山大道祥瑞大厦11楼1101室,0859-3127868 ,,,2020年01月16日 15:50,,,,,,,贵州万和工程招标代理造价咨询有限责任公司（地址：贵州省兴义市桔山大道祥瑞大厦11楼1101室）,2020年01月17日  09:00  至  2020年01月20日  17:00,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201802/t20180213_9590954.htm,册亨县城镇供水工程PPP项目,,7、册亨县水务局,册亨县,2018年02月13日  14:26, 2018年02月14日  09:00  至  2018年03月08日  11:00,￥300,网上报名成功，网上下载（点击此链接：http://www.qxnzjyzx.cn，可直接跳转到黔西南州公共资源交易中心网站）。,2018年03月09日  13:40,黔西南州公共资源交易中心二楼多功能二厅（兴义市桔山广场旁）,￥18000.89万元（人民币）,刘需芝,0859-3668011,册亨县,18788792749,贵州致信建设工程监理咨询有限公司,兴义市瑞金大道金地大厦第C座21层,0859-3668011 ,,,2018年02月13日 14:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201803/t20180309_9649474.htm,册亨县城镇供水工程PPP项目,,7、册亨县水务局,册亨县,2018年03月09日  17:06,,,,,,,刘需芝,0859-3668011,册亨县,18788792749,贵州致信建设工程监理咨询有限公司,兴义市瑞金大道金地大厦第C座21层,0859-3668011,,,2018年03月09日 17:06,2018年02月14日,2018年03月09日,陈贞林  王学军 汪屿 贺孝禹 王飞 黄明彪 陆计策,￥0 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201701/t20170118_7870943.htm,,,,,,,,,,,,,,,,,,,,,2017年01月18日 11:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201705/t20170504_8195924.htm,元阳县城镇综合供排水改扩建工程PPP项目,服务/水利管理服务/其他水利管理服务,元阳县住房和城乡建设局,红河哈尼族彝族自治州,2017年05月04日  17:16,,,,,,,张女士,0873-5645440,元阳县南沙镇常青路,0873-5645440,云南云岭招标咨询有限公司,云南省昆明市盘龙区小坝路2号金尚俊园C座26楼招标部,0871-65749339,,,2017年05月04日 17:16,2017年01月18日,2017年05月11日,陈劲华、杨京、白伟、张信其、何章发、钟相富、白迈华,￥0 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201411/t20141112_4720785.htm,,,,,,,,,,,,,,,,,,,,,2014年11月12日 11:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201803/t20180321_9687327.htm,个旧市特色工业园区一碗水工业片区开发建设项目（一期）政府和社会资本合作（PPP）项目,,个旧市特色工业园区管理委员会,红河哈尼族彝族自治州,2018年03月21日  16:19,,,,,,,李工,13888047599,个旧市金湖西路22号,0873-2123908,云南云岭招标咨询有限公司,昆明市盘龙区小坝路2号金尚俊园C座30楼,13888047599,,,2018年03月21日 16:19,,,,,2018年04月13日  09:00 ,"	2018年04月13日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/gpsr/lltt/201702/t20170228_7957043.htm,,,,,,,,,,,,,,,,,,,,,2017年02月28日  10:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201806/t20180626_10162487.htm,酒泉市肃北县马鬃山镇供水工程巩固提升项目探采结合机井工程,工程/其他建筑工程,肃北蒙古族自治县水利建设管理站,肃北蒙古族自治县,2018年06月26日  09:55,,,,,,,李雄业,13830757129,肃北县党城湾镇南街67号,0937-8123987,酒泉四方建设监理咨询有限公司,酒泉市肃州区 宝泉西路2-1号楼3-2-1,0937-2625034,肃北探采结合井公开招标文件、5.31定.pdf,,2018年06月26日 09:55,2018年05月31日,2018年06月22日,"刘永明, 成元贵, 任会斌, 任全刚, 赵勇庆",￥49.5 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/201809/t20180929_10807988.htm,甘肃省肃北蒙古族自治县马鬃山镇供水工程PPP项目,服务/其他服务,肃北县工业和信息化局,肃北蒙古族自治县,2018年09月29日  18:05,,,,,,,张际鹏 ,18919371331,肃北县党城湾镇科教中心综合办公楼三楼,8122931,兰州众信招标有限公司,兰州市城关区庆阳路159号民安大厦,18093768107,,,2018年09月29日 18:05,,,,,,,,,2018年09月30日  00:00至2018年10月11日  00:00,登录酒泉市公共资源交易中心网自行免费下载竞争性磋商文件,2018年10月19日  09:00至2018年10月19日  09:00,酒泉市公共资源交易中心二楼,2018年10月19日  09:00,酒泉市公共资源交易中心二楼,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201808/t20180808_10434005.htm,甘肃省肃北蒙古族自治县马鬃山镇供水工程PPP项目,,肃北县工业和信息化局,肃北蒙古族自治县,2018年08月08日  08:35,,,,,,,岳瑛、李琴 ,18093760388/18093768107,肃北县党城湾镇科教中心综合办公楼三楼,8122931,兰州众信招标有限公司,兰州市城关区庆阳路159号民安大厦,0931-8103011,,,2018年08月08日 08:35,,,,,2018年08月28日  09:00 ,"	2018年08月28日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201907/t20190725_12538333.htm,肃北县马鬃山镇供水管网建设（维修改造）项目,工程,肃北蒙古族自治县马鬃山镇人民政府,肃北蒙古族自治县,2019年07月25日  18:25,,,,,,,新吉扣,18093701611,肃北蒙古族自治县马鬃山镇人民政府,13993710067,酒泉弘盛招标有限公司,甘肃省酒泉市肃北蒙古族自治县党城湾镇文化路商贸楼1-2-1,18093768107,肃北县马鬃山镇供水管网建设（维修改造）   招标文件.pdf,,2019年07月25日 18:25,2019年06月28日,2019年07月24日,"董芝梅, 王杰, 万秀娟, 陈嘉军, 刘雪红",￥179.568200 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201812/t20181210_11310225.htm,云南省楚雄彝族自治州禄丰县碧城装备制造产业园（一期）PPP建设项目,,禄丰工业园区管理委员会,楚雄彝族自治州,2018年12月10日  15:25,,,,,,,段先生,13987871273,楚雄州禄丰县金山镇龙城路邮政局办公楼三楼,13987871273,云南风蓝工程管理咨询有限公司,昆明市世纪金源大道世纪金源商务中心 3幢 20 楼,13368807986,,,2018年12月10日 15:25,,,,,2019年01月11日  09:30 ,"	2019年01月11日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201603/t20160315_6587032.htm,亚行贷款云南楚雄州城市基础设施建设PPP项目,,,楚雄彝族自治州,2016年03月15日  16:46,,,,,,,焉鑫博,010-88086760,,,北京大岳咨询有限责任公司,北京市金融街33号通泰大厦C座901室,焉鑫博 010-88086760,,,2016年03月15日 16:46,,,,,2016年04月07日  09:30 ,"	2016年04月07日",,,,,,,,,楚雄市人民政府、禄丰县人民政府、武定县人民政府,楚雄市汇东街91号,李仕阳 0878-3112665,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201903/t20190320_11781495.htm,云南省禄丰县国家储备林等林业生态建设政府和社会资本合作（PPP）项目社会资本方采购,货物/土地、建筑物及构筑物/土地、海域及无居民海岛/林地,禄丰县林业和草原局,楚雄彝族自治州,2019年03月20日  12:48,,,,,,,苏建林,13619489744,禄丰县金山南路74号,13619489744,旺和招标咨询有限公司,楚雄市汇东胜景小区357幢,13987082984,,,2019年03月20日 12:48,,,,,2019年04月12日  15:00 ,"	2019年04月12日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201707/t20170710_8499846.htm,云南省大理州漾濞县雪山河滨河公园景观建设项目政府与社会资本合作（PPP）模式竞争性磋商,工程/其他建筑工程,漾濞彝族自治县国土资源局,大理白族自治州,2017年07月10日  16:02,,,,,,,杨女士,0872-7524592,漾濞彝族自治县苍山西镇漾江中路51号,0872-7524592,四川恒鑫工程管理咨询有限公司,四川省成都市锦江区华星路16号2楼招标部,028-87774686-802,,,2017年07月10日 16:02,2017年06月06日,2017年07月11日,评审小组成员：龚际（组长）、姚明华、李琼、晋银涛（法律）、刘燕红（财务）、杨德明、张赛光；采购结果确认谈判小组成员：王彩勋、杨德明、杨忠贤、王志诚、张赛光、马永钦、杨嘉宝、蒙红军、谢字州、徐漾伟、杨斯涵、温宗金。,￥0 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/cjgg/201802/t20180211_9581908.htm,文山州富宁县全域旅游基础设施建设政府和社会资本合作（PPP）项目,工程/其他建筑工程,0871-65749339,文山壮族苗族自治州,2018年02月11日  10:58,,,,,,,曹慕华,0871-65749339,富宁县新华镇普厅南路8号广电大楼,舒军,云南云岭工程造价咨询有限公司,云南省昆明市盘龙区小坝路2号金尚俊园C座26楼,0871-65749339,,,2018年02月11日 10:58,2017年12月13日,,,,,,,,,,,,,,,,,2018年02月02日,黄秀艳、张福萍、岑贞龙、李坤、陆光海、陶丽萍、姜露娜,￥129961.38 万元（人民币）,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201812/t20181217_11364884.htm,昆明（岷山）至楚雄（广通）高速公路扩建工程PPP项目社会资本采购,,云南省交通运输厅,昆明市,2018年12月17日  22:10,,,,,,,吴水平,0871-66014082,云南省昆明市环城西路1号,0871-63401038  65305672,云南盛发工程建设招标造价咨询有限公司,昆明市经开区顺通大道国际银座C3栋14楼,0871-66014082,,,2018年12月17日 22:10,2018年10月08日,2018年12月18日,严圆、龙赛琼、马飚、顾剑、蒋勇、成倩、王垠、赵光曾、朱志勇,￥2077910.250000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201912/t20191211_13540022.htm,云南省大理州宾川县城乡一体化政府和社会资本合作（PPP）项目,,宾川县住房和城乡建设局,大理白族自治州,2019年12月11日  14:42,,,,2019年12月11日  09:00,,￥4374.330000万元（人民币）,李云灿,0872-7140894,宾川县金牛镇金叶路99号,0872-7140894,大理建设工程招标有限公司,宾川县金牛镇金叶路99号,0872-7142820,,,2019年12月11日 14:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201708/t20170804_8637517.htm,云南省禄丰县养老服务综合体建设工程PPP项目资格预审公告,,禄丰县民政局,楚雄彝族自治州,2017年08月04日  18:57,,,,,,,杨茂林,0878-4121709,楚雄州禄丰县金山镇世纪大街中段（县体育馆西侧）,0878-4121709，2226011475@qq.com,大成工程咨询有限公司,昆明市世纪金源大道世纪金源商务中心2幢19楼,13987801333，425743721@qq.com,,,2017年08月04日 18:57,,,,,2017年08月29日  09:00 ,"	2017年08月29日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/zx/df/index_1.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/zx/df/shanxi/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/zx/df/shanxi/201911/t20191125_13409421.htm,,,,,,,,,,,,,,,,,,,,,2019年11月25日  10:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/zx/df/shanxi/201903/t20190320_11779910.htm,,,,,,,,,,,,,,,,,,,,,2019年03月20日  08:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/cjgg/201907/t20190726_12544275.htm,临汾市环境产业园区生活垃圾焚烧发电及餐厨垃圾处理PPP项目,,临汾市政府工程建设事务管理局,山西省,2019年07月26日  15:56,,,,,,,详见招标文件或《中国山西政府采购网》发布的公告信息,0351-7881508,临汾市尧都区二招路体育中街,0357-2039958,山西省国际招标有限公司,山西省太原市长风文化商务区长兴南街8号阳光城环球金融中心写字楼9层,0351-7881508,环境产业园区PPP模式竞争性磋商文件--初稿6.18.doc,,2019年07月26日 15:56,2019年06月24日,,,,,,,,,,,,,,,,,2019年07月04日,倪红举、贾彩虹、范红秀、刘明星、董刚、李斌、吴苏敏、张蕾、杨光,￥64773.950000 万元（人民币）,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/zx/df/shanxi/201712/t20171221_9372072.htm,,,,,,,,,,,,,,,,,,,,,2017年12月21日  08:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201803/t20180307_9642297.htm,新绛县汾河城区段综合治理工程PPP项目,,新绛县水利水保局,山西省,2018年03月07日  22:33,,,,,,,李俊强,0357-3350888,山西省运城市新绛县古城街2号,0359-7527678,中鼎誉润工程咨询有限公司,郑州中原区建设西路139号,0357-3350888,招标文件.doc,,2018年03月07日 22:33,2018年02月06日,2018年03月06日,王文龙 、景晓英、张彩琦、郝永刚、李海燕、翟凤玲、贺维栋,￥0 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/oss/download?uuid=58E7FDB3440FF380158C9CA075C30E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/ppp/zx/df/yunnan/201907/t20190715_12456367.htm,,,,,,,,,,,,,,,,,,,,,2019年07月15日  08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201908/t20190826_12755659.htm,桂林市第二水源工程--西城水厂工程子项工程施工监理服务招标,服务/工程咨询管理服务/工程监理服务,桂林市自来水公司,临桂县,2019年08月26日  09:26, 2019年08月26日  09:00  至  2019年08月30日  17:30,￥250,投标人在桂林市公共资源交易中心网站(http://ggzy.guilin.cn/gxglhy)进行网上报名并购买招标文件，没有购买招标文件的不得参与投标。,2019年09月16日  09:30,桂林市公共资源交易中心（桂林市临桂区西城中路69号创业大厦西辅楼4楼）1号开标大厅。,￥774.360000万元（人民币）,周祖勇,18978316602,桂林市民主路48号,俸冬寿   18907730322,广西途盛建设项目管理有限公司,广西百色市右江区中山二路14号国土局培训楼五楼,周祖勇  18978316602,,,2019年08月26日 09:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201903/t20190329_11830347.htm,荔浦县第二水源及新建水厂工程子项一：大江水库引水工程特许经营项目,服务/其他服务,荔浦市水利局,荔蒲县,2019年03月29日  15:32,,,,,,,彭佳伟,0773-2187722,荔浦市滨江路,陈朋;18577344828,中经国际招标集团有限公司,桂林市七星区软件大厦三层D-1,彭佳伟;0773-2187722,（GLZC2019-G2-17015-ZJGJ（预）） 资格预审公告.docx,,2019年03月29日 15:32,,,,,2019年04月25日  10:30 ,"	2019年04月25日",,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201812/t20181217_11362711.htm,详见公告正文,工程,兴化市城市建设投资有限公司,泰州市,2018年12月17日  17:34,,,,,,,详见公告正文,详见公告正文,详见公告正文,详见公告正文,南京如神高科投资咨询有限公司,详见公告正文,详见公告正文,,,2018年12月17日 17:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/gkzb/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201904/t20190422_11949337.htm,新乡市“四县一区”南水北调配套工程南线PPP项目,,新乡市南水北调中线工程领导小组办公室,新乡市,2019年04月22日  18:16,,,,2019年05月17日  09:00,,￥50483.350000万元（人民币）,王华跃,0373-3699269、13323807161,新乡市平原路599号,0373—3061991,河南求实工程造价咨询有限公司,郑州市高新区科学大道53号中原广告产业园2号楼9层,0373-3699269、13323807161,,,2019年04月22日 18:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191217_13586568.htm,新乡市“四县一区”南水北调配套工程南线PPP项目,服务/其他服务,新乡市南水北调中线工程领导小组办公室,新乡市,2019年12月17日  17:42,,,,,,,王华跃,0373-3699269、13323807161,新乡市平原路599号,李富佳0373—3061991,河南求实工程造价咨询有限公司,郑州市高新区科学大道53号中原广告产业园2号楼9层,王华跃0373-3699269、13323807161,,,2019年12月17日 17:42,2019年05月22日,2019年09月17日,郭洪涛、司大勇（招标人代表）、李艳、王志刚、张荣军、王桂琴、陈文新,￥0.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201906/t20190626_12337983.htm,新乡市“四县一区”南水北调配套工程南线PPP项目监理,,新乡市南水北调中线工程领导小组办公室,新乡市,2019年06月26日  14:42,,,,,,,王华跃,0373-3699269、13323807161,新乡市平原路599号,0373-3061991,河南求实工程造价咨询有限公司,郑州市高新区科学大道53号中原广告产业园2号楼9层,0373-3699269、13323807161,,,2019年06月26日 14:42,2019年06月26日,2019年06月26日,/,￥0.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191203_13480851.htm,新乡市“四县一区”南水北调配套工程南线PPP项目,服务/其他服务,新乡市南水北调中线工程领导小组办公室,新乡市,2019年12月03日  19:05,,,,,,,王华跃,0373-3699269、13323807161,新乡市平原路599号,李富佳0373—3061991,河南求实工程造价咨询有限公司,郑州市高新区科学大道53号中原广告产业园2号楼9层,王华跃0373-3699269、13323807161,,,2019年12月03日 19:05,2019年05月22日,2019年12月03日,郭洪涛、司大勇（招标人代表）、李艳、王志刚、张荣军、王桂琴、陈文新,￥0.000000 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201707/t20170728_8600036.htm,新乡市“三县一区”南水北调配套工程南线项目勘察设计,,新乡市南水北调中线工程领导小组办公室,新乡市,2017年07月28日  18:18,,,,,,,张女士 ,/,新乡市南水北调中线工程领导小组办公室,0371-55390338,北京江河润泽工程管理咨询有限公司,/,/,,,2017年07月28日 18:18,2017年07月28日,2017年07月28日,/,￥0 万元（人民币）,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/index_4.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ccgp.gov.cn/cggg/dfgg/zbgg/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
