,Title,Original search,Url
23,元阳县城镇综合供排水改扩建工程PPP项目预中标结 …,榕江县城镇供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201705/t20170504_8195924.htm
24,玉溪市公共资源交易中心玉溪市政府投资建设项目中 …,紫金县龙窝镇污水处理厂建设项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201411/t20141112_4720785.htm
25,PPP频道_中国政府采购网,黑龙江省大庆市林甸经济开发区污水处理厂PPP项目,http://www.ccgp.gov.cn/ppp/
26,个旧市特色工业园区一碗水工业片区开发建设项目（ …,云南省临沧市临翔区第二污水处理厂（工业园区厂）政府与社会资本合作(PPP)项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201803/t20180321_9687327.htm
27,PPP项目实施全流程解读_中国政府采购网,瓦房店市一碗水PPP项目（一期）,http://www.ccgp.gov.cn/gpsr/lltt/201702/t20170228_7957043.htm
28,肃北蒙古族自治县水利建设管理站酒泉市肃北县马鬃 …,甘肃省酒泉市肃北县马鬃山镇供水工程,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201806/t20180626_10162487.htm
29,甘肃省肃北蒙古族自治县马鬃山镇供水工程PPP项目 …,甘肃省酒泉市肃北县马鬃山镇供水工程,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/201809/t20180929_10807988.htm
30,肃北县工业和信息化局甘肃省肃北蒙古族自治县马鬃 …,甘肃省酒泉市肃北县马鬃山镇供水工程,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201808/t20180808_10434005.htm
31,肃北县马鬃山镇供水管网建设（维修改造）项目中标 …,甘肃省酒泉市肃北县马鬃山镇供水工程,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201907/t20190725_12538333.htm
32,云南省楚雄彝族自治州禄丰县碧城装备制造产业园（ …,云南省楚雄州禄丰县城区至恐龙谷片区供水管网及城区河道拦河闸工程PPP建设项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201812/t20181210_11310225.htm
33,楚雄市人民政府、禄丰县人民政府、武定县人民政府 …,云南省楚雄州禄丰县城区至恐龙谷片区供水管网及城区河道拦河闸工程PPP建设项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201603/t20160315_6587032.htm
34,云南省禄丰县国家储备林等林业生态建设政府和社会 …,云南省楚雄州禄丰县城区至恐龙谷片区供水管网及城区河道拦河闸工程PPP建设项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201903/t20190320_11781495.htm
35,云南省大理州漾濞县雪山河滨河公园景观建设项目政 …,云南省楚雄州禄丰县城区至恐龙谷片区供水管网及城区河道拦河闸工程PPP建设项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201707/t20170710_8499846.htm
36,云南省文山州富宁县全域旅游基础设施建设 政府和 …,云南省楚雄州禄丰县城区至恐龙谷片区供水管网及城区河道拦河闸工程PPP建设项目,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/201802/t20180211_9581908.htm
37,昆明（岷山）至楚雄（广通）高速公路扩建工程PPP …,云南省楚雄州禄丰县城区至恐龙谷片区供水管网及城区河道拦河闸工程PPP建设项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201812/t20181217_11364884.htm
38,云南省大理州宾川县城乡环卫一体化政府和社会资本 …,湖南省衡阳市衡山县开云新城及乡镇污水处理工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201912/t20191211_13540022.htm
39,云南省禄丰县养老服务综合体建设工程PPP项目资格 …,云南省楚雄州禄丰县城区至恐龙谷片区供水管网及城区河道拦河闸工程PPP建设项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201708/t20170804_8637517.htm
40,地方资讯 - 中国政府采购网,云南省楚雄州禄丰县城区至恐龙谷片区供水管网及城区河道拦河闸工程PPP建设项目,http://www.ccgp.gov.cn/ppp/zx/df/index_1.htm
41,山西 - 中国政府采购网,山西省晋中市介休市小水网配套工程PPP项目,http://www.ccgp.gov.cn/ppp/zx/df/shanxi/
42,山西临汾市财政局“三个积极”全面加强PPP项目建设_ …,山西省运城市新绛县煤化产业循环经济示范园区污水处理厂PPP项目,http://www.ccgp.gov.cn/ppp/zx/df/shanxi/201911/t20191125_13409421.htm
43,山西省启动PPP项目标准化建设试点_中国政府采购网,山西省运城市新绛县煤化产业循环经济示范园区污水处理厂PPP项目,http://www.ccgp.gov.cn/ppp/zx/df/shanxi/201903/t20190320_11779910.htm
44,临汾市政府工程建设事务管理局临汾市环境产业园区 …,山西省临汾市引沁入汾尧都专线水质提升工程ppp项目,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/201907/t20190726_12544275.htm
45,晋城市10个项目参加山西省PPP项目推介会_中国政 …,山西省临汾市汾西县县域小水网PPP项目,http://www.ccgp.gov.cn/ppp/zx/df/shanxi/201712/t20171221_9372072.htm
46,新绛县汾河城区段综合治理工程PPP项目中标公告,山西省运城市新绛县煤化产业循环经济示范园区污水处理厂PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201803/t20180307_9642297.htm
47,政府采购 - ccgp.gov.cn,山西省临汾市汾西县县域小水网PPP项目,http://www.ccgp.gov.cn/oss/download?uuid=58E7FDB3440FF380158C9CA075C30E
48,昆明市宜良县一厂三网PPP项目让污水“变废为宝”_中 …,山西省临汾市汾西县县域小水网PPP项目,http://www.ccgp.gov.cn/ppp/zx/df/yunnan/201907/t20190715_12456367.htm
49,桂林市自来水公司关于桂林市第二水源工程--西城水 …,广西壮族自治区桂林市第二水源工程——引水工程子项PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201908/t20190826_12755659.htm
50,中经国际招标集团有限公司关于荔浦县第二水源及新 …,广西壮族自治区桂林市第二水源工程——引水工程子项PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201903/t20190329_11830347.htm
51,关于兴化市长江引水工程PPP项目的资格预审公告,广西壮族自治区桂林市第二水源工程——引水工程子项PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201812/t20181217_11362711.htm
52,公开招标公告_中国政府采购网 - ccgp.gov.cn,黄石汪仁污水处理厂提标改造及扩能PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/
53,新乡市“四县一区”南水北调配套工程南线PPP项目资 …,河南省安阳市南水北调安阳市西部调水工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201904/t20190422_11949337.htm
54,新乡市“四县一区”南水北调配套工程南线PPP项目中 …,河南省驻马店市南水北调中线工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191217_13586568.htm
55,新乡市“四县一区”南水北调配套工程南线PPP项目监 …,河南省安阳市南水北调安阳市西部调水工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201906/t20190626_12337983.htm
56,新乡市南水北调中线工程领导小组办公室新乡市“四 …,河南省安阳市南水北调安阳市西部调水工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191203_13480851.htm
57,新乡市“三县一区”南水北调配套工程南线项目勘察设 …,新乡市“四县一区”南水北调配套工程南线PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201707/t20170728_8600036.htm
58,地方公告_中国政府采购网,黄石市铁山区西区污水处理厂及管网,http://www.ccgp.gov.cn/cggg/dfgg/index_4.htm
59,采购公告 - 中国政府采购网,盖州市双台镇污水处理厂及配套管网工程项目PPP模式,http://www.ccgp.gov.cn/cggg/
60,中标公告_中国政府采购网,青海省共和县污水管网与污水处理厂提标改造及扩建工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/
61,新疆阜康产业园管理委员会新疆阜康产业园总体规划 …,新疆阜康产业园扬水工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/201909/t20190923_12971775.htm
62,新疆维泰小微企业园一期PPP项目公开招标公告,新疆阜康产业园扬水工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201711/t20171122_9210496.htm
63,仙桃市循环经济产业园PPP项目中标结果公告,海南昌江循环经济工业园区太坡组团污水处理厂工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201901/t20190111_11503945.htm
64,汝州市南水北调供水配套工程勘察设计招标公告,河南省南水北调受水区周口供水配套工程项城供水管道工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201804/t20180419_9811077.htm
65,南乐县南水北调集中供水PPP项目（输水管线工程） …,河南省南水北调受水区周口供水配套工程项城供水管道工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201710/t20171012_8973113.htm
66,舞钢市水利局关于南水北调中线舞钢市引水工程PPP …,河南省驻马店市南水北调中线工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201902/t20190201_11606653.htm
67,安阳市水利局南水北调安阳市西部调水工程PPP项目 …,河南省安阳市南水北调安阳市西部调水工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201908/t20190830_12793808.htm
68,驻马店市水利局关于驻马店市南水北调中线工程PPP …,河南省驻马店市南水北调中线工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201902/t20190201_11605511.htm
69,卫辉市水务PPP项目资格预审结果公示,河南省南水北调受水区周口供水配套工程项城供水管道工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201609/t20160920_7338669.htm
70,平顶山市湛河治理工程2015年度第二批工程施工及 …,河南省南水北调受水区周口供水配套工程项城供水管道工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201511/t20151109_6111078.htm
71,河南省豫东水利工程管理局引江济淮工程（河南 …,河南省周口市西华县西华经开区污水处理厂工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201904/t20190425_11973683.htm
72,河南省南水北调中线工程建设领导小组办公室/南水 …,河南省驻马店市南水北调中线工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201708/t20170817_8704820.htm
73,南水北调中线干线工程建设管理局南水北调中线干线 …,河南省驻马店市南水北调中线工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201607/t20160718_7062398.htm
74,宝丰县2015年度南水北调中线沿线集雨区农村环境 …,河南省驻马店市南水北调中线工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201608/t20160811_7174351.htm
75,泉港区市政公用事业管理处泉港区菱溪水库至泉港引 …,泉港区菱溪水库至泉港引调水管道工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201908/t20190828_12781786.htm
76,泉港区泗洲水库管理处泉港区菱溪水库灌区农业水价 …,泉港区菱溪水库至泉港引调水管道工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201908/t20190822_12736857.htm
77,泉港区住房和城乡规划建设局泉港区民生综合工 …,泉港区菱溪水库至泉港引调水管道工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201711/t20171130_9252442.htm
78,农村基础设施水利扶贫二期供水工程政府和社会资本 …,且未县污水处理及农区、绿化供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201710/t20171025_9048797.htm
79,咸丰县老城区污水处理及乡镇污水处理全覆盖PPP项 …,达茂旗百灵庙镇污水处理扩能及中水回用PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191218_13590913.htm
80,www.ccgp.gov.cn,黑龙江省鸡西市梨树区平岗污水处理项目,http://www.ccgp.gov.cn/oss/download?uuid=38DEB3541F6B5E67BE5A8D8D418DBE
81,湖北省秭归县茅坪河流域综合治理PPP项目社会资本 …,湖北省黄石市阳新县宝塔湖污水处理厂扩建及提标升级工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201904/t20190421_11941894.htm
82,呼和浩特市和林县2016年PPP项目进展顺利_中国政 …,且未县污水处理及农区、绿化供水PPP项目,http://www.ccgp.gov.cn/ppp/zx/df/neimenggu/201612/t20161227_7795182.htm
83,云南省曲靖市师宗县工业园区基础设施建设政府和社 …,四川省内江市威远县严陵工业园区污水处理厂及配套管网工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201909/t20190905_12842429.htm
84,西畴县水利和交通基础设施项目政府和社会资本合 …,云南省文山州西畴县活性炭、三板桥、香坪山、老玉坡、木兰水库工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/201704/t20170419_8135393.htm
85,漳县职业中等专业学校2018年职业教育实训基地建 …,云南省文山州西畴县活性炭、三板桥、香坪山、老玉坡、木兰水库工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201810/t20181011_10869522.htm
86,临汾市尧都区水利局临汾市尧都区汾河吴村段生态修 …,山西省临汾市引沁入汾尧都专线水质提升工程ppp项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201807/t20180716_10290311.htm
87,临汾市财政局“三个积极”着力推进PPP项目建设_中国 …,山西省临汾市襄汾县污水处理厂提标改造工程PPP项目,http://www.ccgp.gov.cn/ppp/zx/df/shanxi/201809/t20180912_10676077.htm
88,山西师范大学临汾学院新校区建设PPP项目（社会资 …,山西省临汾市引沁入汾尧都专线水质提升工程ppp项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201806/t20180620_10133742.htm
89,山西省人民政府国有资产监督管理委员会国资监管大 …,山西省临汾市引沁入汾尧都专线水质提升工程ppp项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201810/t20181012_10875148.htm
90,山西农谷智慧农业信息化建设项目中标公告,山西省临汾市引沁入汾尧都专线水质提升工程ppp项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201906/t20190620_12304182.htm
91,山西省交通运输厅呼北国家高速公路山西省隰县至吉 …,山西省临汾市引沁入汾尧都专线水质提升工程ppp项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201901/t20190118_11539510.htm
92,介休市水利局小水网配套工程监理服务项目公开招标 …,山西省晋中市介休市小水网配套工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201903/t20190328_11825951.htm
93,介休市水务局介休市小水网工程PPP项目社会资本方 …,山西省晋中市介休市小水网配套工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201803/t20180315_9668712.htm
94,竞争性磋商文件 - ccgp.gov.cn,山西省晋中市介休市小水网配套工程PPP项目,http://www.ccgp.gov.cn/oss/download?uuid=90329724FD77356DCABC9C21E10A14
95,介休车站劳动服务公司塑料围布采购项目中标公告,山西省晋中市介休市小水网配套工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202001/t20200104_13704468.htm
96,晋中市卫生健康委员会晋中市市域全民健康服务信息 …,山西省晋中市介休市小水网配套工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/201905/t20190522_12125398.htm
97,山西省环境信息中心山西省生态环境大数据建设项 …,山西省晋中市介休市小水网配套工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201905/t20190513_12067464.htm
98,成交公告_中国政府采购网,乐东县黄流镇污水处理厂及配套管网工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/
99,贵州省务川自治县脱贫攻坚农村饮水安全工程PPP项 …,建始县农村饮水安全扶贫工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201909/t20190906_12850513.htm
100,内乡县农村饮水安全光伏扶贫巩固提升项目招标公告,建始县农村饮水安全扶贫工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201905/t20190520_12106922.htm
101,洪泽县“十三五”农村饮水安全工程PPP项目中标结果 …,建始县农村饮水安全扶贫工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201609/t20160927_7371070.htm
102,洪泽县“十三五”农村饮水安全工程PPP项目预中标结 …,建始县农村饮水安全扶贫工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201609/t20160919_7328773.htm
103,湖北省来凤县精准扶贫农村饮水安全PPP项目成交结 …,建始县农村饮水安全扶贫工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201611/t20161117_7591500.htm
104,湖北省来凤县精准扶贫农村饮水安全PPP项目中标候 …,建始县农村饮水安全扶贫工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201611/t20161108_7547653.htm
105,政府与社会资本合作 澎湃荆楚新动能,建始县农村饮水安全扶贫工程PPP项目,http://www.ccgp.gov.cn/specialtopic/pppzt/news/201708/t20170825_8743493.htm
106,红河县脱贫攻坚2019年度车古乡、垤玛乡、驾车乡 …,建始县农村饮水安全扶贫工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/yqzbgg/201903/t20190325_11806911.htm
107,阳新县农村饮水安全巩固提升工程（精准扶 …,建始县农村饮水安全扶贫工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201612/t20161215_7747096.htm
108,昌乐县小丹河综合治理工程PPP项目暂停更正公告,昌乐县小丹河综合治理工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201810/t20181018_10913525.htm
109,昌乐县水利局昌乐县小丹河综合治理工程PPP项目资 …,昌乐县小丹河综合治理工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201809/t20180928_10798850.htm
110,昌乐县小丹河综合治理工程PPP项目使用林地可行性 …,昌乐县小丹河综合治理工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201812/t20181227_11432956.htm
111,昌乐县小丹河综合治理工程可行性研究报告（环评报 …,昌乐县小丹河综合治理工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/dylygg/201803/t20180323_9696324.htm
112,昌乐县小丹河综合治理工程规划设计项目竞争性磋商 …,昌乐县小丹河综合治理工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201803/t20180322_9692253.htm
113,伊河伊川县段河道生态综合治理工程（PPP）项目资 …,昌乐县小丹河综合治理工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180302_9626910.htm
114,河南省大别山革命老区引淮供水灌溉工程PPP项目流 …,河南省南阳市桐柏化工产业集聚区污水处理、供水PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201908/t20190823_12743199.htm
115,河南省大别山革命老区引淮供水灌溉工程PPP项目资 …,河南省大别山革命老区引淮供水灌溉工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201907/t20190726_12546241.htm
116,河南淮河实业发展有限公司-河南省大别山革命老区 …,河南省大别山革命老区引淮供水灌溉工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201911/t20191121_13386357.htm
117,息县西石龙淮河引水灌溉工程管理处河南省大别山革 …,河南省大别山革命老区引淮供水灌溉工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201806/t20180625_10161094.htm
118,河南省南水北调受水区安阳供水配套工程38号输水管 …,河南省安阳市南水北调安阳市西部调水工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201907/t20190724_12526195.htm
119,湘潭市大力推进城乡统筹供水PPP项目,湖南省娄底市冷水江市农村自来水水厂巩固提升PPP+项目,http://www.ccgp.gov.cn/specialtopic/pppzt/news/201711/t20171130_9251829.htm
120,湖南省国土资源信息中心湖南省国土空间规划基础信 …,湖南省娄底市冷水江市农村自来水水厂巩固提升PPP+项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201909/t20190912_12896321.htm
121,湖南省社会保险费申报测算系统 - ccgp.gov.cn,湖南省永州国家农业科技园伊塘污水处理厂及配套管网PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/dylygg/201907/t20190731_12572379.htm
122,湖南省财政厅关于印发《湖南省政府采购项目评审劳 …,湖南省湘西州龙山县城镇污水处理PPP项目,http://www.ccgp.gov.cn/zjlwbcbz/201706/t20170621_8411644.htm
123,怀化市九项目入围湖南省第四批PPP示范项目_中国 …,湖南省娄底市冷水江市农村自来水水厂巩固提升PPP+项目,http://www.ccgp.gov.cn/ppp/zx/df/hunan/201703/t20170313_7993042.htm
124,娄底市住房和城乡建设局娄底市中心城区路网完善工 …,湖南省娄底市冷水江市农村自来水水厂巩固提升PPP+项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201609/t20160924_7359366.htm
125,湖南省公布第三批PPP示范项目名单,湖南省娄底市冷水江市农村自来水水厂巩固提升PPP+项目,http://www.ccgp.gov.cn/df/hunan/201605/t20160526_6822987.htm
126,湖南省常德市：坚持“五化”举措助推PPP项目“展翅高 …,湖南省永州市道县工业污水处理PPP项目,http://www.ccgp.gov.cn/ppp/zx/df/hunan/201802/t20180228_9616579.htm
127,嵩县2018年农村饮水安全巩固提升工程评标结果公示,湖南省常德市澧县农村饮水安全巩固提升工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201805/t20180502_9862620.htm
128,遵化市2019年农村饮水安全巩固提升工程管材管件 …,湖南省常德市澧县农村饮水安全巩固提升工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201909/t20190923_12969464.htm
129,《湖南省部分公共服务领域PPP项目前期费用补助资 …,湖南省永州国家农业科技园伊塘污水处理厂及配套管网PPP项目,http://www.ccgp.gov.cn/ppp/zx/df/hunan/201709/t20170915_8847890.htm
130,？贵州省黔西县水务一体化PPP项目—农村饮水安全 …,湖南省常德市澧县农村饮水安全巩固提升工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zgysgg/201802/t20180205_9556975.htm
131,贵州省黔西县水务一体化PPP项目—农村饮水安全巩 …,湖南省常德市澧县农村饮水安全巩固提升工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201806/t20180612_10085305.htm
132,金安区2019年度农村饮水安全巩固提升工程球墨铸 …,湖南省常德市澧县农村饮水安全巩固提升工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/fblbgg/201908/t20190830_12799498.htm
133,永安市2019年安砂集镇农村饮水安全巩固提升工程 …,湖南省常德市澧县农村饮水安全巩固提升工程PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/202001/t20200128_13820732.htm
134,采购公告 - 中国政府采购网 - ccgp.gov.cn,黑龙江省哈尔滨市巴彦县兴隆镇污水处理厂ppp项目,http://www.ccgp.gov.cn/cggg/
135,惠州仲恺高新技术产业开发区陈江街道办事处陈江街 …,广东省惠州仲恺高新区陈江街道办二号污水处理厂及管网建设PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201803/t20180307_9640008.htm
136,陈江街道办二号污水处理厂及管网建设PPP项目更正/ …,广东省惠州仲恺高新区陈江街道办二号污水处理厂及管网建设PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201801/t20180126_9526116.htm
137,陈江街道办二号污水处理厂及管网建设PPP项目资格 …,广东省惠州仲恺高新区陈江街道办二号污水处理厂及管网建设PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201803/t20180306_9636025.htm
138,惠州仲恺高新技术产业开发区陈江街道办事处仲恺高 …,广东省惠州仲恺高新区陈江街道办二号污水处理厂及管网建设PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201912/t20191231_13681437.htm
139,惠州市公安局仲恺高新技术产业开发区分局惠州市公 …,广东省惠州仲恺高新区陈江街道办二号污水处理厂及管网建设PPP项目,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201708/t20170829_8764594.htm
